epoch,AUC,accuracy,f1_m,loss,precision,recall,val_AUC,val_accuracy,val_f1_m,val_loss,val_precision,val_recall
0,0.5154463648796082,0.15237388014793396,0.09148095548152924,3.848536968231201,0.13283023238182068,0.0692177414894104,0.4987630844116211,0.11204207688570023,5.210756353335455e-05,2.5714950561523438,0.049152541905641556,2.6045783670269884e-05
1,0.5188266634941101,0.153763547539711,0.09007249027490616,3.7531819343566895,0.13402917981147766,0.06760819256305695,0.5170910358428955,0.12461769580841064,0.016882464289665222,2.806774616241455,0.08194854855537415,0.009374985471367836
2,0.5233091711997986,0.1563829928636551,0.08951021730899811,3.667880058288574,0.13615164160728455,0.0664571225643158,0.5311405062675476,0.1592525988817215,0.07741512358188629,3.3419792652130127,0.1353996843099594,0.05384860932826996
3,0.5275712013244629,0.15752027928829193,0.08826113492250443,3.5817604064941406,0.13759754598140717,0.06502169370651245,0.5371699333190918,0.1666678637266159,0.09257934987545013,3.480576276779175,0.14647576212882996,0.06726697832345963
4,0.5317614078521729,0.15978902578353882,0.08696302771568298,3.5116848945617676,0.13877496123313904,0.06348621845245361,0.5411723852157593,0.1684141308069229,0.09198372066020966,3.422790765762329,0.14778263866901398,0.06639010459184647
5,0.536383330821991,0.1607743501663208,0.08766497671604156,3.428410053253174,0.14275945723056793,0.06334003061056137,0.545806348323822,0.17063310742378235,0.09199423342943192,3.355388879776001,0.15050488710403442,0.06587517261505127
6,0.5412615537643433,0.1637965589761734,0.08688659220933914,3.3629300594329834,0.14474399387836456,0.06223719194531441,0.5502921938896179,0.17216382920742035,0.09190935641527176,3.3003807067871094,0.15309898555278778,0.06533150374889374
7,0.5458822250366211,0.1657094955444336,0.08691997081041336,3.296128034591675,0.14711998403072357,0.061302781105041504,0.5550051331520081,0.17436483502388,0.09241033345460892,3.2367913722991943,0.15681126713752747,0.06518930196762085
8,0.5503252148628235,0.16839514672756195,0.08653061836957932,3.2367851734161377,0.15040576457977295,0.060983672738075256,0.5595942735671997,0.17637576162815094,0.09223336726427078,3.1772639751434326,0.1598891168832779,0.06451331079006195
9,0.5544538497924805,0.1706952601671219,0.086464524269104,3.182736396789551,0.15262137353420258,0.060298047959804535,0.5638828277587891,0.17823518812656403,0.09135553985834122,3.1148221492767334,0.16247551143169403,0.06325323134660721
