epoch,AUC,accuracy,f1_m,loss,precision,recall,val_AUC,val_accuracy,val_f1_m,val_loss,val_precision,val_recall
0,0.5885618329048157,0.1908760815858841,0.1264808624982834,2.954408645629883,0.19656558334827423,0.09226507693529129,0.5294713377952576,0.13836418092250824,0.015813305974006653,2.815922737121582,0.14207282662391663,0.008405602537095547
1,0.742621123790741,0.34034308791160583,0.25264105200767517,1.9818085432052612,0.4325425922870636,0.17917339503765106,0.6169769167900085,0.2044767588376999,0.16670934855937958,2.5672080516815186,0.2818234860897064,0.11958906054496765
2,0.8200467228889465,0.4522467255592346,0.37040889263153076,1.5960609912872314,0.6006619334220886,0.2700442969799042,0.8368091583251953,0.48622897267341614,0.4108094871044159,1.5017582178115845,0.6847019195556641,0.29694828391075134
3,0.8588407635688782,0.5180362462997437,0.4564659595489502,1.4068354368209839,0.6801927089691162,0.34553179144859314,0.8814822435379028,0.5795090794563293,0.5383622646331787,1.279910683631897,0.7499248385429382,0.4240259528160095
4,0.8815808296203613,0.5628795027732849,0.5123394131660461,1.282796859741211,0.7255073189735413,0.3996085524559021,0.9013553857803345,0.6176981925964355,0.5841367840766907,1.1657302379608154,0.7748925089836121,0.47316744923591614
5,0.9001641869544983,0.6003838777542114,0.5554550886154175,1.1773618459701538,0.757506787776947,0.4431339502334595,0.9142794013023376,0.6429222226142883,0.616933286190033,1.0838549137115479,0.7977046370506287,0.5072506070137024
6,0.909838855266571,0.6187881827354431,0.5819810628890991,1.117742657661438,0.7740947604179382,0.470243364572525,0.9243042469024658,0.6625164151191711,0.641548216342926,1.0182338953018188,0.8069465160369873,0.536942183971405
7,0.9171022772789001,0.6370252966880798,0.6042022109031677,1.0703728199005127,0.7831199169158936,0.4945780634880066,0.9321098327636719,0.6821842789649963,0.6601111888885498,0.9643644094467163,0.8220503926277161,0.5558894872665405
8,0.9262470006942749,0.6592225432395935,0.6297069787979126,1.0098673105239868,0.8029829263687134,0.5213900804519653,0.9389071464538574,0.7012662291526794,0.6825041174888611,0.9144341349601746,0.8290415406227112,0.5837096571922302
9,0.9306317567825317,0.6648215055465698,0.6348364949226379,0.9807423949241638,0.8045678734779358,0.5284391045570374,0.9430345892906189,0.7091276049613953,0.6907035708427429,0.8831800222396851,0.8353677988052368,0.5928412675857544
10,0.9352427124977112,0.6801959276199341,0.6524192690849304,0.9457741975784302,0.8134296536445618,0.5514090657234192,0.9480329751968384,0.7219082713127136,0.7069453597068787,0.843427300453186,0.8410530090332031,0.6134805679321289
